cpu_bench_id,cpu_name,passmark,core,thread,tdp,rated_clock,max_clock,list_price,cost_performance,created_at,updated_at
146,Core i5 6600K,6258,4,4,91,3.5,3.9,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
147,Core i5 7600T,6252,4,4,35,2.8,3.7,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
148,Core i3 8100,6250,4,4,65,3.6,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
149,Core i3 8100F,6250,4,4,65,3.6,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
150,Core i7 3770S,6231,4,8,65,3.1,3.9,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
151,Core i5 7500,6210,4,4,65,3.4,3.8,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
152,Core i5 6600,6171,4,4,65,3.3,3.9,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
153,FX-8370,6162,8,8,95,3.3,4.2,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
154,FX-9370,5969,8,8,220,4.4,4.7,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
155,FX-8350,5929,8,8,125,4,4.2,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
156,Core i5 5675C,5900,4,4,65,3.1,3.6,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
157,Core i5 6500,5700,4,4,65,3.2,3.6,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
158,Core i5 4690,5585,4,4,84,3.5,3.9,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
159,Core i5 4690K,5562,4,4,88,3.5,3.9,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
160,Core i7 4785T,5508,4,8,35,2.2,3.2,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
161,Core i7 2700K,5496,4,8,95,3.5,3.9,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
162,Core i5 7400,5498,4,4,65,3,3.5,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
163,Core i5 4670,5466,4,4,84,3.4,3.8,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
164,Core i7 2600K,5460,4,8,95,3.4,3.8,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
165,Core i5 7500T,5432,4,4,35,2.7,3.3,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
166,Core i7 2600,5352,4,8,95,3.4,3.8,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
167,Core i5 4590,5291,4,4,84,3.3,3.7,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
168,Core i5 4690S,5285,4,4,65,3.2,3.9,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
169,FX-8300,5279,8,8,95,3.3,4.2,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
170,FX-8320,5253,8,8,125,3.5,4,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
171,Core i5 4590S,5196,4,4,65,3,3.7,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
172,Core i5 4570,5126,4,4,84,3.2,3.6,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
173,Core i5 6400,5105,4,4,65,2.7,3.3,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
174,Core i3 7350K,5100,2,4,60,4.2,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
175,Core i5 4570S,5013,4,4,65,2.9,3.6,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
176,FX-8370E,5006,8,8,95,3.3,4.3,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
177,FX-8320E,4973,8,8,95,3.2,4,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
178,Core i5 6500T,4969,4,4,35,2.5,3.1,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
179,Core i3 7320,4936,2,4,51,4.1,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
180,Core i3 7300,4927,2,4,51,4,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
181,Core i5 3570,4911,4,4,77,3.4,3.8,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
